Crop;Reception Date;Mês Plantio;Ano;Field;Região;Sieve;Embryoless %;Precipitação (mm);Média Temp. (°C);Umidade (%)
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C3;13,2;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R4;7,3;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R1;0;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R3;2,5;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;R3;1,2;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C2;3,3;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C1;0,2;21;26;58
2018/2019;18/04/2019;Janeiro;2019;069C128M18V;PARACATU;C1;0,1;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C3;16,7;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R4;7,9;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R3;2,2;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;R3;0;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C2;3;21;26;58
2018/2019;22/04/2019;Janeiro;2019;038C128M18V;PARACATU;C2;2,9;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;R4;2,1;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C3;6,5;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C2;2,2;21;26;58
2018/2019;03/05/2019;Janeiro;2019;068C128M18V;PARACATU;C2;2,4;21;26;58
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R4;12,6;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C2;2,9;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R3;7,9;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C3;16,4;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;R2;1,5;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C1;0,8;141;24;73
2019/2019;08/07/2019;Março;2019;193C128M19I;PARACATU;C4;25,2;141;24;73
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;R2;0,4;141;24;73
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;R4;0,3;141;24;73
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;R5;1,7;141;24;73
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;C4;2,3;141;24;73
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;C2;0,4;141;24;73
2019/2019;10/07/2019;Março;2019;208C128M19I;PARACATU;C3;0,4;141;24;73
2019/2019;17/07/2019;Março;2019;196C128M19I;PARACATU;C2;3,9;141;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R2;3,8;73;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;C2;13,9;73;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;C1;2,6;73;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R3;17,3;73;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R1;0,4;73;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;C3;29,8;73;24;73
2019/2019;28/08/2019;Abril;2019;180C128M19I;PARACATU;R4;27,4;73;24;73
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C1;2,7;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R1;0,3;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R2;1,8;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R5;3,1;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C3;3,6;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C4;4;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R3;3;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;R4;3,3;82;23;69
2019/2019;02/09/2019;Maio;2019;206C128M19I;PARACATU;C2;6,9;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R4;7,6;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;C3;19,8;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R2;4,4;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R3;13,7;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;R1;0,3;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;C2;11,1;82;23;69
2019/2019;09/09/2019;Maio;2019;207C128M19I;PARACATU;C1;1,2;82;23;69
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;C3;4,9;33;29;47
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;R4;1,8;33;29;47
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;C2;1,3;33;29;47
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;C1;0,3;33;29;47
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;R3;1,5;33;29;47
2019/2020;21/02/2020;Outubro;2020;018C128M19V;PARACATU;R2;0,2;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R1;0;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;C1;0;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R4;2,3;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R3;1,3;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;C3;3,1;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;C2;0,8;33;29;47
2019/2020;27/02/2020;Outubro;2020;011C128M19V;PARACATU;R2;0,2;33;29;47
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C1;0,4;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R3;2,5;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C4;4,4;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R5;1,7;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R4;4,2;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R1;0,3;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C3;5,7;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;C2;3,4;44;27;59
2019/2020;23/03/2020;Novembro;2020;009C128M19V;PARACATU;R2;0,3;44;27;59
2020/2020;17/06/2020;Fevereiro;2020;509U3M05320I;UBERLANDIA;C4;2,2;260;24;76
2020/2020;19/06/2020;Fevereiro;2020;511U3M05320I;UBERLANDIA;R5;0,5;260;24;76
2020/2020;19/06/2020;Fevereiro;2020;511U3M05320I;UBERLANDIA;C5;0,5;260;24;76
2020/2020;19/06/2020;Fevereiro;2020;510U3M05320I;UBERLANDIA;C5;0,3;260;24;76
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;C3;2,3;185;24;66
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;R2;0,5;185;24;66
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;R3;3,8;185;24;66
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;R4;2;185;24;66
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;C2;1,6;185;24;66
2020/2020;24/07/2020;Março;2020;109P03M05320I;PARACATU;C1;0,2;185;24;66
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;C2;5,4;38;23;64
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;R2;4,1;38;23;64
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;C1;2,5;38;23;64
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;R4;5,7;38;23;64
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;R3;4,4;38;23;64
2020/2020;30/07/2020;Abril;2020;110P03M05320I;PARACATU;C3;4;38;23;64
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R4;3;0;20;62
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;C1;1,8;0;20;62
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R3;6,5;0;20;62
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R2;4,3;0;20;62
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;C2;3,9;0;20;62
2020/2020;31/08/2020;Maio;2020;108P03M05320I;PARACATU;R1;0,6;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R5;11,4;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;C1;4,7;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;C3;5,2;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;C2;6;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R2;3,9;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R1;2;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R4;6,4;0;20;62
2020/2020;31/08/2020;Maio;2020;088P03M05320I;PARACATU;R3;3,5;0;20;62
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R4;7,2;0;20;62
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R2;3,3;0;20;62
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;C2;10,9;0;20;62
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R3;13,6;0;20;62
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;C1;2;0;20;62
2020/2020;04/09/2020;Maio;2020;070P03M05320I;PARACATU;R1;1,2;0;20;62
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;C1;7,1;0;20;62
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R4;8,7;0;20;62
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R3;14,9;0;20;62
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R1;0,7;0;20;62
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;C2;18,4;0;20;62
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R2;2,2;0;20;62
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R3;3,9;0;20;62
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;R4;7;0;20;62
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;C1;1,5;0;20;62
2020/2020;08/09/2020;Maio;2020;071P03M05320I;PARACATU;C2;7,2;0;20;62
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R1;1,8;0;20;62
2020/2020;08/09/2020;Maio;2020;103P03M05320I;PARACATU;R2;7,3;0;20;62
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;C1;1,3;0;20;62
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R1;0,3;0;20;62
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R2;3,5;0;20;62
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R3;13,7;0;20;62
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;R4;9;0;20;62
2020/2020;11/09/2020;Maio;2020;122P03M05320I;PARACATU;C2;9,1;0;20;62
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;C2;9,1;0;20;62
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R4;8,4;0;20;62
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R2;1,8;0;20;62
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;C1;1,4;0;20;62
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R3;7,3;0;20;62
2020/2020;18/09/2020;Maio;2020;112P03M05320I;PARACATU;R1;0,4;0;20;62
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;C2;24,3;0;20;62
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R3;21,2;0;20;62
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;C1;6,2;0;20;62
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R1;0,6;0;20;62
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R4;32,4;0;20;62
2020/2020;18/09/2020;Maio;2020;121P03M05320I;PARACATU;R2;5,8;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R3;6,5;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;C1;1,2;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R1;0,4;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;C3;12,5;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R4;6,6;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;R2;3,3;0;20;62
2020/2020;22/09/2020;Maio;2020;071P03M05320I;PARACATU;C2;7,6;0;20;62
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;C2;11,8;0;20;62
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;R3;9,4;0;20;62
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;C1;3,6;0;20;62
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;R2;4,6;0;20;62
2020/2020;23/09/2020;Maio;2020;070P03M05320I;PARACATU;R1;0,6;0;20;62
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;C1;0,6;0;20;62
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;C2;8,2;0;20;62
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R2;0,7;0;20;62
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R4;7,4;0;20;62
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R1;0;0;20;62
2020/2020;23/09/2020;Maio;2020;111P03M05320I;PARACATU;R3;6,5;0;20;62
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R2;5;0;20;62
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R1;1,5;0;20;62
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R3;8,6;0;20;62
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;C1;3,1;0;20;62
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;C2;17,8;0;20;62
2020/2020;23/09/2020;Maio;2020;103P03M05320I;PARACATU;R4;17,5;0;20;62
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R2;1,8;0;20;62
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R3;9,4;0;20;62
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R4;7,7;0;20;62
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;C1;1,9;0;20;62
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;R1;1,2;0;20;62
2020/2020;25/09/2020;Maio;2020;094P03M05320I;PARACATU;C2;12,5;0;20;62
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R2;5,5;0;20;62
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R3;21,9;0;20;62
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R1;0,6;0;20;62
2020/2020;28/09/2020;Maio;2020;093P03M05320I;PARACATU;R4;17,1;0;20;62
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R1;0,1;0;21;57
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R2;0,2;0;21;57
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R3;3,7;0;21;57
2020/2020;30/09/2020;Junho;2020;591U3M05320I;UBERLANDIA;R4;7,6;0;21;57
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R3;11,7;0;21;57
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R1;1;0;21;57
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R2;5,3;0;21;57
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;C2;21,1;0;21;57
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;C1;6,9;0;21;57
2020/2020;30/09/2020;Junho;2020;102P03M05320I;PARACATU;R4;26,1;0;21;57
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R4;8,1;0;21;57
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;C1;12,7;0;21;57
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R1;2,6;0;21;57
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R3;33,9;0;21;57
2020/2020;01/10/2020;Junho;2020;104P03M05320I;PARACATU;R2;0;0;21;57
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R1;0,2;0;21;57
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R4;2,6;0;21;57
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R3;5,3;0;21;57
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;R2;1,4;0;21;57
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;C2;4,4;0;21;57
2020/2020;01/10/2020;Junho;2020;592U3M05320I;UBERLANDIA;C1;1,3;0;21;57
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;R1;0;0;21;57
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;R3;5,4;0;21;57
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;R2;0,6;0;21;57
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;C2;7,8;0;21;57
2020/2020;01/10/2020;Junho;2020;590U3M05320I;UBERLANDIA;C1;1,8;0;21;57
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;C2;5,6;0;21;65
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;R3;14,6;0;21;65
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;R2;1,2;0;21;65
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;C1;2,4;0;21;65
2020/2020;02/10/2020;Junho;2020;122P03M05320I;PARACATU;R1;0,2;0;21;65
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;C2;12,5;0;21;65
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;C1;1,4;0;21;65
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R3;12,3;0;21;65
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R2;2,7;0;21;65
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R4;19,3;0;21;65
2020/2020;14/10/2020;Junho;2020;094P03M05320I;PARACATU;R1;1,9;0;21;65
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R5;13,9;0;21;65
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R4;22;0;21;65
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R3;17,6;0;21;65
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R2;5,2;0;21;65
2020/2020;15/10/2020;Junho;2020;093P03M05320I;PARACATU;R1;0,6;0;21;65
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R4;6,2;0;21;65
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;C2;5;0;21;65
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R2;0,7;0;21;65
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;C1;0;0;21;65
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R1;0;0;21;65
2020/2020;15/10/2020;Junho;2020;112P03M05320I;PARACATU;R3;3,9;0;21;65
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;C2;11,2;0;21;65
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;C1;2,9;0;21;65
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R1;0,3;0;21;65
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R4;25,1;0;21;65
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R3;10,6;0;21;65
2020/2020;15/10/2020;Junho;2020;102P03M05320I;PARACATU;R2;2,4;0;21;65
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R4;10,1;0;21;65
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;C1;0,5;0;21;65
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R1;0,1;0;21;65
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R2;0,1;0;21;65
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;C2;3,3;0;21;65
2020/2020;15/10/2020;Junho;2020;111P03M05320I;PARACATU;R3;3,8;0;21;65
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;C2;31,6;0;21;65
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;C1;4;0;21;65
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;R4;27,5;0;21;65
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;R3;14,7;0;21;65
2020/2020;16/10/2020;Junho;2020;121P03M05320I;PARACATU;R1;0,6;0;21;65
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R4;8,8;0;21;65
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R2;1,8;0;21;65
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;C2;3,7;0;21;65
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;C1;2,3;0;21;65
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R1;0,3;0;21;65
2020/2020;20/10/2020;Junho;2020;108P03M05320I;PARACATU;R3;6,5;0;21;65
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;C1;3,4;0;21;65
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;C2;7,1;0;21;65
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R1;0,4;0;21;65
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R4;21,5;0;21;65
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R3;15,9;0;21;65
2020/2020;20/10/2020;Junho;2020;088P03M05320I;PARACATU;R2;7,3;0;21;65
